name,amount
,257
accumsan,4
adipiscing,4
aenean,4
aliquam,12
amet,4
arcu,4
at,8
auctor,4
augue,12
condimentum,4
consectetur,4
consequat,8
dapibus,4
dolor,8
donec,4
duis,4
efficitur,8
eget,4
elementum,4
elit,4
erat,4
eros,4
et,12
ex,4
fusce,4
gravida,4
id,8
ipsum,4
justo,4
leo,8
libero,4
lorem,1
malesuada,4
molestie,4
nam,4
nec,8
neque,1
nequelorem,3
nibh,4
nisl,8
non,8
nullam,4
phasellus,4
porta,8
porttitor,8
posuere,4
proin,4
quisque,4
rhoncus,4
risus,4
rutrum,4
sagittis,4
sapien,8
sed,8
sem,4
sit,4
sollicitudin,4
suspendisse,4
tellus,8
turpis,4
ullamcorper,8
urna,4
ut,4
varius,4
vestibulum,8
vitae,8
volutpat,4
